Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
"Jacqueline ""Jackie"" Parr[24]",25,11,17,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Amanda Meyer[17],26,12,17,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Leslie Hughes[17],28,13,17,3.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Kristina ""Kristy"" Kaminski[25]",25,14,17,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Taryn Renee Daniels[26],30,14,17,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Kacie Boguskie[27],25,16,17,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Brooke Burchette[28],25,17,17,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Diana Weeks Willardson[29],31,17,17,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"Katherine ""Katie"" Levans[30]",27,19,17,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Ashley Harper[31],25,20,17,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Ashley Palenkas[32],28,20,17,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Kelly Dutton[33],28,20,17,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Keriann Miranda[34],29,20,17,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Lacey Latka[17],24,20,17,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Lauren Marchetti[35],27,20,17,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Paige Vigil,25,20,17,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Nikki Ferrell[6][7],26,1,18,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Clare Crawley[8],32,2,18,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Andi Dorfman[9],26,3,18,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
